행번호,주택공급명,위치,공급규모,분양모집일자,배정내역,연락처
82,인천 부평 신일해피트리 더루츠,인천 부평구,9,2019-10-10,49A(3) 49B(1) 59A(1) 59C(1) 74(1) 84B(1) 84C(1),1644-9744
83,우동 센텀 마티안,부산 해운대구,2,2019-10-10,69A(1) 75(1),051-746-0025
84,포천 모아엘가 리더스파크,경기 포천시,4,2019-10-11,59A(3) 75(1),1661-2700
85,익산 오투그란데 글로벌카운티,전북 익산시,2,2019-10-11,84A(1) 84B(1),1522-3382
86,춘천우두지구 B-2블럭 공공분양,강원 춘천시,2,2019-10-11,84A(1) 84B(1),033-258-4311
87,루원시티 2차 SK 리더스뷰,인천 서구,34,2019-10-11,84A(12) 84B(2) 84C(7) 84D(9) 84E(4),032-564-0560
88,송도국제도시 디엠시티(B1블럭),인천 연수구,2,2019-10-16,84A(1) 84B(1),1688-9944
89,대신 해모로 센트럴,부산 서구,2,2019-10-16,59(1) 84(1),1899-5698
90,힐스테이트 어울림 효자,전주 완산구,13,2019-10-17,59(1) 70(2) 78A(1) 78B(2) 78C(2) 84A(3) 84B(2),1811-7878
91,해운대 센텀 마티안,부산 해운대구,2,2019-10-17,69A(1) 75(1),051-746-0025
92,탕정지구 지웰시티푸르지오(2-A1),충남 아산시,7,2019-10-17,68A(1) 68B(1) 84A(3) 84B(1) 84C(1),041-555-8448
93,대구역 오페라 W,대구 북구,12,2019-10-23,78(1) 84A(3) 84B(2) 84C(1) 84D(2) 84E(3),053-756-0009
94,무등산 자이&어울림,광주 북구,28,2019-10-23,59A(2) 59B(1) 59C(1) 59D(1) 74A(3) 74B(1) 84A(4) 84B(5) 84C(4) 84D(6),062-719-3007
95,e편한세상 거제 유로아일랜드,경남 거제시,24,2019-10-24,78(3) 84A(12) 84B(6) 84C(3),1833-2642
96,대명역 센트럴 리슈빌,대구 남구,9,2019-10-24,74(1) 84A(4) 84B(3) 84C(1),1522-3060
97,전주 태평 아이파크,전북 전주시,20,2019-10-24,59.72(8) 59.84(2) 74.89(3) 74.96(1) 84.79(5) 84.71(1),063-224-1319
98,청주 테크노폴리스 지웰 푸르지오 아파트,충북 청주시,21,2019-10-25,59A(4) 59B(3) 84A(12) 84B(2),043-233-4200
99,힐스테이트 창경궁,서울 종로구,2,2019-10-18,76A(1) 84A(1),1522-3337
100,거제 덕진8차 봄 아파트,경남 거제시,3,2019-10-28,59A(1) 48A(1) 39A(1),02-566-9476
101,횡성 석미모닝파크,강원 횡성군,2,2019-10-31,81(1) 84(1),02-566-9476
102,운암산 우방이유쉘 1차,광주 북구,3,2019-10-31,42A(1) 52A(2),1577-2771
103,데시앙 해링턴플레이스,부산 남구,3,2019-10-31,59A(2) 59B(1),051-611-8900
104,양주옥정신도시2차 노블랜드 프레스티지,경기 양주시,20,2019-10-31,75A(1) 75B(1) 75C(1) 75D(1) 84A(1) 84B(3) 84C(2) 84D(2),1688-6800
105,힐스테이트 비산 파크뷰,경기 안양시,4,2019-10-31,59A(2) 76A(2),1811-9602
106,시민공원 삼정그린코아 더베스트,부산 부산진구,7,2019-10-29,59A(2) 59B(1) 72(1) 84(3),051-808-0022
107,인천루원시티 주상복합 린스트라우스,인천 서구,25,2019-10-31,84A(10) 84B(9) 84C(5) 84D(1),032-818-3600
108,센텀 KCC 스위첸,부산 해운대구,10,2019-11-01,59(0) 64(1) 84A(6) 84B(3),1588-2006
109,운서 스카이뷰 스카이시티,인천 중구,14,2019-10-31,77A(3) 77B(3) 84A(6) 84C(2),032-569-1153
110,광교산 더샵 퍼스트파크,경기 수원시,7,2019-11-07,36(1) 59B(1) 71C(1) 84A(2) 84B(1) 84C(1),031-242-4777
111,검단신도시 AA11블럭 예미지 트리플에듀,인천 서구,11,2019-11-07,76A(1) 76B(1) 84A(4) 84B(4) 84C(1),1899-1482
112,증평 미암리 코아루 휴티스,충북 증평군,16,2019-11-07,59A(8) 59B(5) 81(2) 83(1),043-836-5600
113,검단신도시 AA1 호반 써밋 인천 검단2차,인천 서구,6,2019-11-07,72A(1) 72B(1) 84A(3),1566-0716
114,힐스테이트 홍은 포레스트,서울 서대문구,6,2019-11-13,59A(3) 72A(1) 72B(2),02-3151-0991
115,꿈의 숲 한신더휴,서울 강북구,2,2019-11-14,59B(1) 75(1),1599-0757
116,인천 검단신도시 대광로제비앙,인천 서구,11,2019-11-14,79A(2) 79B(1) 84A(5) 84B(3),1899-7575
117,고양 덕은 도시개발구역 A2블럭 중흥S-클래스,경기 고양시,4,2019-11-15,84A(2) 84B(1) 84C(1),031-968-9570
118,서대구 KTX 영무예다음 공동주택,대구 서구,7,2019-11-15,57(2) 59(1) 84A(3) 84B(1),053-472-0700
119,수성 뷰웰 리버파크,대구 수성구,3,2019-11-15,75(1) 84(2),1566-0377
120,옥정역 대광로제비앙 41블럭,경기 양주시,12,2019-11-21,84A(9) 84B(2),1600-7790
121,옥정역 대광로제비앙 42블럭,경기 양주시,3,2019-11-21,84A(2) 84C(1),1600-7790
122,수원 하늘채 더퍼스트 1단지,경기 수원시,5,2019-11-21,74A(1) 74B(1) 84A(1) 84B(2),031-222-3236
123,수원 하늘채 더퍼스트 2단지,경기 수원시,8,2019-11-21,59C(1) 74A(2) 74B(2) 84A(1) 84B(2),031-222-3236
124,효창 파크뷰 데시앙,서울 용산구,1,2019-11-21,59B(1),02-706-9800
125,서면 롯데캐슬 엘루체,부산 부산진구,4,2019-11-21,84A(1) 84B(1) 84C(1) 84D(1),051-757-0802
126,일광신도시 이지더원 2차(12블럭) 공공분양,부산 기장군,8,2019-11-21,59A(7) 59B(1),1855-0653
127,일광신도시 이지더원 3차(10블럭) 공공분양,부산 기장군,5,2019-11-21,84A(3) 84B(2),1855-0653
128,DMC 금호 리첸시아,서울 서대문구,3,2019-11-21,59B(1) 74(1) 84(1),02-304-0450
129,제주첨단과학기술단지 A23블럭 공공임대주택,제주 제주시,2,2019-11-29,59A(2),064-797-5712
130,쌍용 더 플래티넘 오목천역,경기 수원시,13,2019-11-28,59A(4) 59B(2) 74(2) 84A(2) 84B(3),031-292-9377
131,e편한세상 초지역 센트럴포레,경기 안산시,6,2019-11-28,49(2) 59(4),031-506-7800
132,힐스테이트 대구역,대구 중구,16,2019-11-28,84A(4) 84B(2) 84C(10),1899-9839
133,인천검단2차 AA12-2블럭 대방노블랜드,인천 검단지구,19,2019-11-28,76A(6) 75B(3) 84A(1) 84B(3) 84C(6),1688-9200
134,부평 두산위브 더파크,인천 부평구,5,2019-11-28,49(1) 59A(1) 74(1) 84(2),1522-3179
135,춘천 롯데캐슬 위너클래스,강원 춘천시,11,2019-11-28, 59(3) 73(2) 84B(4) 84C(2),1811-8855
136,안양 아르테자이,경기 안양시,6,2019-11-28,59A(1) 59D(3) 63(2),1833-4125
137,인천 유림노르웨이숲 에듀오션,인천 중구,9,2019-11-29,56(2) 59A(3) 59B(2) 66(2),032-202-7000
138,여수 죽림 힐스테이트,전남 여수시,3,2019-11-29,84(3),061-686-0600
139,더샵 파크 프레스티지,서울 영등포구,7,2019-12-05,59A(2) 59D(1) 84TA(2) 84TB(2),1855-0799
140,신평동 사하코오롱하늘채,부산 사하구,3,2019-12-05,84(1) 76(1) 59B(1),051-934-9884
141,힐스테이트푸르지오 주안,인천 미추홀구,14,2019-12-05,45(1) 59A(4) 59B(3) 59C(1) 64(1) 74A(1) 74B(2) 84B(1),032-429-9420
142,두류 파크 KCC 스위첸,대구 달서구,7,2019-12-05,59A(2) 75A(1) 84A(2) 84B(2),1599-0662
143,검단신도시 AB2 신안인스빌 어반퍼스트,인천 서구,12,2019-12-05,84(12),031-998-2800
144,대구역 제일풍경채 위너스카이,대구 중구,7,2019-12-05,84A(2) 84B(3) 84C(2),053-253-3233
145,영도 더킹페로스,부산 영도구,1,2019-12-06,E형(1),051-417-8948
146,힐스테이트 수원 푸르지오,경기 수원시,29,2019-12-11,43(3) 49(2) 59A(2) 59B(8) 74(5) 84(9),031-273-8720
147,e편한세상 부평역 어반루체,인천 부평구,1,2019-12-12,59C(1),032-543-9877
148,빌리브 클라쎄,대구 달서구,1,2019-12-12,84B(1),053-552-2000
149,명동2차 화성파크드림,경남 양산시,3,2019-12-11,59A(1) 59B(1) 51B(1),053-760-3807
150,광주 계림 IPARK SK VIEW(계림2구역),광주 동구,11,2019-12-12,62(2) 72(3) 76(1) 84(3),062-362-1715
151,검단신도시 모아엘가 그랑데,인천 서구,7,2019-12-12,59A(4) 59B(1) 84A(1) 84B(1),032-562-0060
152,청주 가경 아이파크 4단지,충북 청주시,2,2019-12-12,84A(2),043-239-7504
153,남구 도시첨단 D2블럭 제일풍경채,광주 남구,9,2019-12-12,84A(5) 84B(4),1522-3169
154,평택 고덕국제신도시 A-44블럭,경기 평택시,6,2019-12-13,84A(4) 84B(2),1899-7575
155,대봉 서한포레스트,대구 중구,4,2019-12-18,79(1) 84B(1) 84C(1) 84D(1),053-355-0050
156,시흥 장현 공공주택지구 C4블럭,경기 시흥시,5,2019-12-19,84A(4) 84B(1),1811-0511
157,e편한세상 홍제 가든플라츠,서울 서대문구,8,2019-12-19,59A(4) 59B(2) 84(2),1811-9878
158,이안 오션파크 W,부산 남구,3,2019-12-20,59A(1) 72.98(1) 84.99(1),051-631-3111
159,광명 푸르지오 센트베르,경기 광명시,3,2019-12-19,59B(2) 59C(1),1800-1507
160,중산매곡 에일린의 뜰,울산 북구,1,2019-12-24,84B-1(1),052-256-5585
161,일원 더샵 온천헤리티지,부산 동래구,2,2019-12-26,59A(1) 59B(1),1644-0506
162,대구 달서 코아루 더리브,대구 달서구,2,2019-12-26,84A(1) 84B(1),053-554-2500
163,개포프레지던스자이,서울 강남구,1,2019-12-26,39(1),1544-6651
164,당진 아이파크,충남 당진시,5,2019-12-31,59(1) 74(1) 84A(3),041-360-7900
165,파라곤 센트럴파크 AA2블럭,인천 검단신도시,6,2019-12-31,84A(6) 84B(5),1811-8779
166,성남고등 S-3블럭 공공분양,경기 성남시,1,2019-12-31,59C(1),031-250-8238
167,경북도청신도시 코오롱 하늘채(공공분양),경북 안동시,3,2020-02-03,74A(1) 84A(1) 84B(1),054-650-3113
168,힐스테이트 송도 더스카이,인천 연수구,7,2020-02-07,84A(6) 84B(1),1600-3113
169,청라 힐스자이,대구 중구,12,2020-02-07,59(2) 75(2) 84A(4) 84C(4),1661-5523
170,매교역 푸르지오 SK View,경기 수원시,32,2020-02-07,59A(5) 59B(2) 59C(1) 74A(3) 74B(7) 84(14),1800-4844
171,힐스테이트 도원 센트럴,대구 중구,9,2020-02-07,84A(3) 84B(3) 84C(3),053-257-5551
172,양주옥정 A-20(1) 유림노르웨이숲,경기 양주시,21,2020-02-05,75A(5) 84A(12) 84B(4),031-868-8110
173,동홍동 센트레빌,제주 서귀포시,4,2020-02-14,59(1) 84A(2) 84B(1),064-762-9700
174,서면 스위트엠 골드에비뉴,부산 부산진구,15,2020-02-14,59A(2) 59B(1) 59C(2) 59D(1) 59E(2) 59F(2) 59G(2) 54H(2) 49I(1),051-632-0112
175,두호 SK VIEW 푸르지오,경북 포항시,2,2020-02-14,84B(2),054-275-2220
176,반월당역 서한포레스트,대구 중구,2,2020-02-17,78(1) 84B(1),053-762-8300
177,속초2차 아이파크,강원 속초시,9,2020-02-20,79(3) 84A(5) 84B(1),033-638-9666
178,고흥 승원팰리체 더퍼스트,전남 고흥군,3,2020-02-21,84A(3),1644-4448
179,과천지식정보타운 S9블럭 과천제이드자이 공공분양,경기 과천시,2,2020-02-21,59B(1) 59A(1),1644-9949
180,힐스테이트 첨단,광주 광산구,4,2020-02-19,84A(1) 84B(3),1899-1686
181,인천 검단신도시 AB3-1블록 대성베르힐,인천 서구,6,2020-02-21,84A(4) 84B(2),032-563-0300
182,대연 삼정그린코아 더베스트,부산 남구,3,2020-02-14,59(2) 71(1),051-744-1008
183,원주 세경 3차 아파트,강원 원주시,9,2020-02-28,59.76(9),02-446-2740-711
184,영광 금호어울림 리더스,전남 영광군,3,2020-02-27,84A(3),061-352-7997
185,부산 덕천 포레나,부산 북구,4,2020-02-28,59(2) 74B(1) 74C(1),1899-0662
186,송추 북한산 경남 아너스빌,경기 양주시,23,2020-02-28,63A(15) 63B(2) 73A(5) 73B(1),031-963-1236
187,쌍용 더 플래티넘 범어,대구 수성구,3,2020-03-06,84A(1) 84B(1) 84C(1),080-011-0777
188,힐스테이트 부평,인천 부평구,14,2020-03-06,59A(2) 59B(3) 75(4) 84(5),1566-3658
189,쌍용 더 플래티넘 해운대,부산 해운대구,3,2020-03-06,84A(1) 84B(1) 84C(1),1899-3360
190,천안 청당 서희스타힐스,충남 천안시,2,2020-02-28,74A(1) 84(1),1899-3622
191,영통자이 아파트,경기 수원시,10,2020-03-12,59A(6) 59B(3) 75A(1),1661-7658
192,봉덕2차 화성파크드림,대구 남구,6,2020-03-13,59(1) 74(2) 84A(2) 84B(1),053-321-8922
193,한양수자인 디에스티지,전남 순천시,9,2020-03-13,79A(1) 79B(1) 84A(3) 84B(1) 84C(3),061-745-5100
194,시흥장현 영무예다음 공동주택,경기 시흥시,7,2020-03-18,84A(3) 84B(1) 84C(3),1566-0466
195,부평역 한라비발디 트레비앙,인천 부평구,2,2020-03-19,84B(1) 84C(1),1811-6665
196,순천 금호어울림 더파크2차,전남 순천시,3,2020-03-19,84A(3),061-744-4590
197,대광로제비앙 센텀29,전남 여수시,5,2020-03-19,84A(4) 84B(1),1600-5535
198,안산 푸르지오 브리파크,경기 안산시,4,2020-03-20,49(3) 59B(1),1800-0742
199,인천 검단신도시3차 노블랜드 리버파크,인천 검단지구,12,2020-03-26,59A(2) 59B(2) 59C(4) 84A(1) 84B(1) 84C(2),1688-9200
200,당진 효성 해링턴플레이스,충남 당진시,20,2020-03-27,59A(10) 59B(1) 74(4) 84(5),041-352-1222
201,뉴센트럴 두산위브더제니스,대구 달서구,4,2020-03-27,84A(2) 84B(2),053-639-2121
202,사상 중흥S클래스 그랜드센트럴,부산 사상구,18,2020-03-27,59(3) 74(4) 79(6) 84(5),1600-6882
203,탑동 힐데스하임,충북 청주시,19,2020-03-20,65(7) 80(1) 84(11),043-258-0005
204,검단신도시 우미린 에코뷰,인천 서구,5,2020-03-27,59A(3) 59B(1) 84A(1),032-547-6400
205,계양 서해그랑블 더 테라스,인천 계양구,3,2020-03-31,84B2(1) 84B3(1),1588-4206
206,포레나 거제 장평,경남 거제시,2,2020-03-31,75(1) 84A(1),1566-7550
207,인천 영종국제도시 A47 호반 써밋,인천 중구,6,2020-04-02,74A(1) 74B(1) 84A(1) 84B(1) 84C(1) 84D(1),1670-0570
208,전주 우아한시티,전북 전주시,1,2020-04-03,84B(1),063-246-9900
209,양주회천신도시 노블랜드 센트럴시티,경기 양주시,12,2020-04-10,75A(1) 75B(1) 75C(1) 75D(1) 84A(2) 84B(2) 84C(2) 84D(2),1688-6800
210,더샵 광교산퍼스트파크 장안111-4구역,경기 수원시,7,2020-04-10,36(1) 59B(1) 71C(1) 84A(2) 84B(1) 84C(1),031-242-4777
211,호반써밋 목동,서울 양천구,5,2020-04-10,59A(1) 59B(1) 84A(1) 84B(2),1566-3382
212,유성둔곡지구 서한이다음,대전 유성구,21,2020-04-16,A1-59.65(8) A1-59.96(2) A2-78(1) A2-84(10),042-472-7711
213,시화 MTV 공동2블록 호반 써밋,경기 시흥시,11,2020-04-17,59A(3) 59B(1) 59C(1) 84A(5) 84B(2),062-716-9900
214,인천 대헌1블록(LH브리즈힐),인천 동구,1,2020-04-16,59B(1),1522-1741
215,월배 라온프라이빗 디엘,대구 달서구,2,2020-04-17,84A(1) 84B(1),053-643-7656
216,양주 옥정신도시 제일풍경채 Lake City A10-1블록,경기 양주시,8,2020-04-16,74(1) 84A(4) 84B(3),1644-4800
217,양주 옥정신도시 제일풍경채 Lake City A10-2블록,경기 양주시,8,2020-04-16,74(1) 84A(4) 84B(3),1644-4800
218,고덕 아르테스 미소지움,서울 강동구,1,2020-04-16,59B(1),02-3459-2024
219,목포 수창해뜨레 아파트,전남 목포시,1,2020-04-17,59B(1),061-287-8944
220,여수 신기 휴스티지,전남 여수시,1,2020-04-23,84C(1),1800-3578
221,각화 아델리움 어반센트럴,광주 북구,2,2020-04-24,84A(2),062-716-9900
222,DMC 리버파크자이,경기 고양시,5,2020-04-23,84A(3) 84B(1) 84C(1),1661-8044
223,DMC 리버포레자이,경기 고양시,3,2020-04-23,84A(1) 84B(1) 84E(1),1661-8044
224,의정부 롯데캐슬 골드포레,경기 의정부시,1,2020-04-24,59A(1),1899-4240
225,힐스테이트 동인,대구 중구,8,2020-04-23,84A(2) 84B(2) 84C(2) 84C(2),053-767-1055
226,가양동 고운하이플러스,대전 동구,1,2020-04-24,59(1),1811-6855
227,계룡 푸르지오 더 퍼스트,충남 계룡시,23,2020-04-24,59A(10) 59B(3) 59C(1) 84A(5) 84B(2) 84C(1) 84D(1),1800-0515
228,신동탄 포레자이,경기 화성시,16,2020-04-24,59(6) 74(4) 84A(4) 84B(2),031-751-3460
229,청주 파라곤,충북 청주시,10,2020-04-23,77A(2) 77B(1) 84(7),1600-0998
230,우장산숲 아이파크,서울 강서구,4,2020-04-27,59B(2) 74(1) 84B(1),1566-1642
231,청주모충 LH트릴로채 10년 분양전환공공임대주택,충북 청주시,1,2020-04-29,51A-2(1),043-268-8710
232,충북혁신도시 B3-1블록 10년 공공임대리츠,충북 진천군,6,2020-04-29,74A(2) 84A(4),043-901-4350
233,속초디오션자이,강원 속초시,8,2020-05-07,84A(2) 84B(2) 84C(2) 84D(2),1661-0340
234,힐스테이트 대구역 오페라,대구 북구,15,2020-05-08,59(4) 84A(5) 84B(6),053-292-0055
235,양정 포레힐즈 스위첸,부산 부산진구,15,2020-05-07,59A(2) 59B(1) 73A(1) 84A(8) 84B(3),1577-4582
236,영종국제도시 화성파크드림2차,인천 중구,6,2020-05-08,64(3) 73(2) 75(1),032-746-7922
237,광명 푸르지오 센트베르,경기 광명시,3,2020-05-07,59B(2) 59C(1),1800-1507
238,부평삼산 신원아침도시,인천 부평구,1,2020-05-07,74B(1),1599-3340
239,이안 동래 센트럴시티,부산 동래구,4,2020-05-08,61A(1) 62(1) 63(1) 72(1),051-554-9600
240,흑석 리버파크자이,서울 동작구,1,2020-05-06,59A(1),1661-3578
