안경업소명칭,사업장소재지(도로명),사업장우편번호(도로명),사업장전화번호
오렌즈 광장동점 아이스퀘어안경,"서울특별시 광진구 아차산로 502, 109,110,111,112호 (광장동)",'04974,02-452-0784
테랑알이랑콘택트,서울특별시 광진구 면목로 131-1 (중곡동),'04907,02-498-2418
그랑프리안경원,서울특별시 광진구 면목로 114 (중곡동),'04910,02-466-2666
테크노안경원,"서울특별시 광진구 광나루로56길 85, 테크노마트 지하1층 (구의동)",'05116,02-3424-1032
중앙안경콘택트,"서울특별시 광진구 광나루로56길 85, 테크노-마트21 지하1층 (구의동)",'05116,02-3424-1998
건대구내안경원,서울특별시 광진구 광나루로20길 44 (화양동),,02-450-3099
안경박사(노룬산점),서울특별시 광진구 뚝섬로 498 (자양동),'05085,02-462-1815
모닝아이안경,서울특별시 광진구 뚝섬로 621 (자양동),'05063,02-3437-2789
안경콘택트맨(MAN),"서울특별시 광진구 천호대로112길 7, 1층 (능동)",'04986,02-3436-2966
란안경,"서울특별시 광진구 아차산로 387, 1층 (구의동)",'05044,02-456-0110
샤르망안경,서울특별시 광진구 능동로49길 28 (중곡동),'04908,02-468-4337
세종대구내안경원,"서울특별시 광진구 능동로 209, 1층 (군자동, 세종대학교 군자관)",'05006,02-468-9442
가나안경,서울특별시 광진구 자양로 112 (구의동),'05043,02-457-4589
황금당안경,서울특별시 광진구 뚝섬로 608 (자양동),'05099,02-453-7215
콘택트안경,"서울특별시 광진구 자양로18길 62, 1층 (구의동)",'05044,02-446-4141
글라스박스,서울특별시 광진구 뚝섬로 558 (자양동),'05091,02-444-1455
으뜸안경,서울특별시 광진구 능동로13길 39 (화양동),'05016,02-468-8961
씨앤아이안경마트,서울특별시 광진구 아차산로 379 (구의동),'05044,02-2201-3300
새빛안경,"서울특별시 광진구 긴고랑로9길 51, 1층 (중곡동)",'04908,02-466-8841
오티오(OTO) 안경콘택트,서울특별시 광진구 군자로 85 (군자동),'05002,02-468-1722
아리수안경콘택트,"서울특별시 광진구 자양로15길 18, 1층 (자양동, 혜성빌딩)",'05055,02-444-2020
모던안경콘택트타운,서울특별시 광진구 뚝섬로 486 (자양동),'05084,02-469-2336
레젼드안경,서울특별시 광진구 천호대로 548 (군자동),'04997,02-467-6006
킴스안경클럽,"서울특별시 광진구 뚝섬로 681, 1층 (자양동)",'05056,02-446-4600
보경당안경,서울특별시 광진구 광나루로 366 (화양동),'05008,02-463-3075
